d,hwi
1951-01-01,40.0
1951-02-01,41.0
1951-03-01,43.0
1951-04-01,42.0
1951-05-01,43.0
1951-06-01,41.0
1951-07-01,42.0
1951-08-01,42.0
1951-09-01,41.0
1951-10-01,42.0
1951-11-01,42.0
1951-12-01,42.0
1952-01-01,44.0
1952-02-01,43.0
1952-03-01,42.0
1952-04-01,43.0
1952-05-01,42.0
1952-06-01,42.0
1952-07-01,43.0
1952-08-01,43.0
1952-09-01,46.0
1952-10-01,48.0
1952-11-01,48.0
1952-12-01,48.0
1953-01-01,47.0
1953-02-01,47.0
1953-03-01,50.0
1953-04-01,49.0
1953-05-01,47.0
1953-06-01,45.0
1953-07-01,43.0
1953-08-01,41.0
1953-09-01,40.0
1953-10-01,36.0
1953-11-01,33.0
1953-12-01,30.0
1954-01-01,29.0
1954-02-01,28.0
1954-03-01,27.0
1954-04-01,27.0
1954-05-01,26.0
1954-06-01,27.0
1954-07-01,26.0
1954-08-01,26.0
1954-09-01,26.0
1954-10-01,26.0
1954-11-01,28.0
1954-12-01,29.0
1955-01-01,30.0
1955-02-01,32.0
1955-03-01,34.0
1955-04-01,34.0
1955-05-01,36.0
1955-06-01,38.0
1955-07-01,39.0
1955-08-01,41.0
1955-09-01,43.0
1955-10-01,42.0
1955-11-01,44.0
1955-12-01,46.0
1956-01-01,44.0
1956-02-01,45.0
1956-03-01,45.0
1956-04-01,45.0
1956-05-01,45.0
1956-06-01,44.0
1956-07-01,42.0
1956-08-01,43.0
1956-09-01,43.0
1956-10-01,45.0
1956-11-01,45.0
1956-12-01,43.0
1957-01-01,45.0
1957-02-01,43.0
1957-03-01,42.0
1957-04-01,40.0
1957-05-01,40.0
1957-06-01,38.0
1957-07-01,39.0
1957-08-01,37.0
1957-09-01,36.0
1957-10-01,34.0
1957-11-01,30.0
1957-12-01,29.0
1958-01-01,28.0
1958-02-01,26.0
1958-03-01,25.0
1958-04-01,24.0
1958-05-01,24.0
1958-06-01,25.0
1958-07-01,26.0
1958-08-01,27.0
1958-09-01,29.0
1958-10-01,29.0
1958-11-01,30.0
1958-12-01,32.0
1959-01-01,32.0
1959-02-01,34.0
1959-03-01,36.0
1959-04-01,38.0
1959-05-01,38.0
1959-06-01,40.0
1959-07-01,42.0
1959-08-01,40.0
1959-09-01,41.0
1959-10-01,40.0
1959-11-01,40.0
1959-12-01,40.0
1960-01-01,41.0
1960-02-01,41.0
1960-03-01,39.0
1960-04-01,38.0
1960-05-01,38.0
1960-06-01,37.0
1960-07-01,36.0
1960-08-01,35.0
1960-09-01,34.0
1960-10-01,32.0
1960-11-01,32.0
1960-12-01,30.0
1961-01-01,30.0
1961-02-01,30.0
1961-03-01,30.0
1961-04-01,30.0
1961-05-01,32.0
1961-06-01,32.0
1961-07-01,33.0
1961-08-01,34.0
1961-09-01,35.0
1961-10-01,37.0
1961-11-01,38.0
1961-12-01,38.0
1962-01-01,40.0
1962-02-01,39.0
1962-03-01,39.0
1962-04-01,39.0
1962-05-01,40.0
1962-06-01,39.0
1962-07-01,39.0
1962-08-01,38.0
1962-09-01,38.0
1962-10-01,37.0
1962-11-01,37.0
