date,value
1994-11-28,1.259
1994-12-05,1.254
1994-12-12,1.231
1994-12-19,1.216
1994-12-26,1.213
1995-01-02,1.231
1995-01-09,1.232
1995-01-16,1.231
1995-01-23,1.226
1995-01-30,1.221
1995-02-06,1.218
1995-02-13,1.218
1995-02-20,1.213
1995-02-27,1.211
1995-03-06,1.209
1995-03-13,1.202
1995-03-20,1.201
1995-03-27,1.198
1995-04-03,1.198
1995-04-10,1.207
1995-04-17,1.215
1995-04-24,1.231
1995-05-01,1.242
1995-05-08,1.261
1995-05-15,1.273
1995-05-22,1.285
1995-05-29,1.291
1995-06-05,1.289
1995-06-12,1.287
1995-06-19,1.285
1995-06-26,1.280
1995-07-03,1.275
1995-07-10,1.269
1995-07-17,1.260
1995-07-24,1.248
1995-07-31,1.237
1995-08-07,1.229
1995-08-14,1.221
1995-08-21,1.214
1995-08-28,1.209
1995-09-04,1.209
1995-09-11,1.203
1995-09-18,1.202
1995-09-25,1.198
1995-10-02,1.200
1995-10-09,1.198
1995-10-16,1.195
1995-10-23,1.190
1995-10-30,1.179
1995-11-06,1.171
1995-11-13,1.168
1995-11-20,1.162
1995-11-27,1.160
1995-12-04,1.160
1995-12-11,1.161
1995-12-18,1.169
1995-12-25,1.178
1996-01-01,1.178
1996-01-08,1.181
1996-01-15,1.189
1996-01-22,1.189
1996-01-29,1.185
1996-02-05,1.182
1996-02-12,1.180
1996-02-19,1.184
1996-02-26,1.200
1996-03-04,1.213
1996-03-11,1.221
1996-03-18,1.227
1996-03-25,1.247
1996-04-01,1.266
1996-04-08,1.293
1996-04-15,1.337
1996-04-22,1.386
1996-04-29,1.413
1996-05-06,1.422
1996-05-13,1.424
1996-05-20,1.425
1996-05-27,1.417
1996-06-03,1.419
1996-06-10,1.407
1996-06-17,1.397
1996-06-24,1.387
1996-07-01,1.375
1996-07-08,1.367
1996-07-15,1.360
1996-07-22,1.351
1996-07-29,1.340
1996-08-05,1.327
1996-08-12,1.315
1996-08-19,1.305
1996-08-26,1.307
1996-09-02,1.289
1996-09-09,1.287
1996-09-16,1.290
1996-09-23,1.290
1996-09-30,1.284
1996-10-07,1.278
1996-10-14,1.278
1996-10-21,1.273
1996-10-28,1.270
1996-11-04,1.273
1996-11-11,1.270
1996-11-18,1.277
1996-11-25,1.283
1996-12-02,1.288
1996-12-09,1.293
1996-12-16,1.297
1996-12-23,1.298
1996-12-30,1.299
1997-01-06,1.304
1997-01-13,1.316
1997-01-20,1.318
1997-01-27,1.316
1997-02-03,1.318
1997-02-10,1.320
1997-02-17,1.316
1997-02-24,1.313
1997-03-03,1.306
1997-03-10,1.306
1997-03-17,1.304
1997-03-24,1.305
1997-03-31,1.310
1997-04-07,1.314
1997-04-14,1.315
1997-04-21,1.310
1997-04-28,1.305
1997-05-05,1.305
1997-05-12,1.300
1997-05-19,1.301
1997-05-26,1.306
1997-06-02,1.304
1997-06-09,1.301
1997-06-16,1.296
1997-06-23,1.288
1997-06-30,1.273
1997-07-07,1.268
1997-07-14,1.262
1997-07-21,1.259
1997-07-28,1.254
1997-08-04,1.279
1997-08-11,1.316
1997-08-18,1.331
1997-08-25,1.357
1997-09-01,1.365
1997-09-08,1.369
1997-09-15,1.371
1997-09-22,1.363
1997-09-29,1.352
1997-10-06,1.347
1997-10-13,1.338
1997-10-20,1.330
1997-10-27,1.320
1997-11-03,1.311
1997-11-10,1.304
1997-11-17,1.296
1997-11-24,1.288
1997-12-01,1.282
1997-12-08,1.270
1997-12-15,1.260
1997-12-22,1.249
1997-12-29,1.243
1998-01-05,1.236
1998-01-12,1.222
1998-01-19,1.204
1998-01-26,1.190
1998-02-02,1.177
1998-02-09,1.165
1998-02-16,1.148
1998-02-23,1.137
1998-03-02,1.117
1998-03-09,1.098
1998-03-16,1.088
1998-03-23,1.081
1998-03-30,1.107
1998-04-06,1.108
1998-04-13,1.113
1998-04-20,1.112
1998-04-27,1.123
1998-05-04,1.149
1998-05-11,1.161
1998-05-18,1.175
1998-05-25,1.175
1998-06-01,1.172
1998-06-08,1.170
1998-06-15,1.166
1998-06-22,1.161
1998-06-29,1.156
1998-07-06,1.157
1998-07-13,1.154
1998-07-20,1.153
1998-07-27,1.147
1998-08-03,1.139
1998-08-10,1.134
1998-08-17,1.130
1998-08-24,1.123
1998-08-31,1.116
1998-09-07,1.112
1998-09-14,1.107
1998-09-21,1.114
1998-09-28,1.117
1998-10-05,1.116
1998-10-12,1.117
1998-10-19,1.113
1998-10-26,1.115
1998-11-02,1.110
1998-11-09,1.109
1998-11-16,1.103
1998-11-23,1.105
1998-11-30,1.099
1998-12-07,1.088
1998-12-14,1.081
1998-12-21,1.079
1998-12-28,1.074
1999-01-04,1.071
1999-01-11,1.068
1999-01-18,1.073
1999-01-25,1.067
1999-02-01,1.056
1999-02-08,1.050
1999-02-15,1.043
1999-02-22,1.039
1999-03-01,1.042
1999-03-08,1.051
