date,value
1994-11-28,1.311
1994-12-05,1.317
1994-12-12,1.318
1994-12-19,1.297
1994-12-26,1.280
1995-01-02,1.263
1995-01-09,1.254
1995-01-16,1.246
1995-01-23,1.261
1995-01-30,1.244
1995-02-06,1.235
1995-02-13,1.240
1995-02-20,1.230
1995-02-27,1.224
1995-03-06,1.254
1995-03-13,1.237
1995-03-20,1.229
1995-03-27,1.264
1995-04-03,1.255
1995-04-10,1.296
1995-04-17,1.288
1995-04-24,1.279
1995-05-01,1.302
1995-05-08,1.291
1995-05-15,1.313
1995-05-22,1.314
1995-05-29,1.343
1995-06-05,1.331
1995-06-12,1.337
1995-06-19,1.326
1995-06-26,1.336
1995-07-03,1.337
1995-07-10,1.327
1995-07-17,1.319
1995-07-24,1.321
1995-07-31,1.312
1995-08-07,1.301
1995-08-14,1.307
1995-08-21,1.326
1995-08-28,1.317
1995-09-04,1.305
1995-09-11,1.316
1995-09-18,1.336
1995-09-25,1.332
1995-10-02,1.336
1995-10-09,1.324
1995-10-16,1.310
1995-10-23,1.306
1995-10-30,1.314
1995-11-06,1.307
1995-11-13,1.299
1995-11-20,1.315
1995-11-27,1.304
1995-12-04,1.288
1995-12-11,1.292
1995-12-18,1.278
1995-12-25,1.269
1996-01-01,1.261
1996-01-08,1.288
1996-01-15,1.281
1996-01-22,1.264
1996-01-29,1.272
1996-02-05,1.260
1996-02-12,1.248
1996-02-19,1.294
1996-02-26,1.285
1996-03-04,1.304
1996-03-11,1.290
1996-03-18,1.288
1996-03-25,1.334
1996-04-01,1.334
1996-04-08,1.371
1996-04-15,1.402
1996-04-22,1.426
1996-04-29,1.503
1996-05-06,1.521
1996-05-13,1.517
1996-05-20,1.531
1996-05-27,1.517
1996-06-03,1.496
1996-06-10,1.477
1996-06-17,1.488
1996-06-24,1.468
1996-07-01,1.467
1996-07-08,1.457
1996-07-15,1.442
1996-07-22,1.451
1996-07-29,1.439
1996-08-05,1.459
1996-08-12,1.469
1996-08-19,1.456
1996-08-26,1.469
1996-09-02,1.462
1996-09-09,1.453
1996-09-16,1.465
1996-09-23,1.459
1996-09-30,1.450
1996-10-07,1.457
1996-10-14,1.448
1996-10-21,1.442
1996-10-28,1.452
1996-11-04,1.450
1996-11-11,1.445
1996-11-18,1.454
1996-11-25,1.441
1996-12-02,1.432
