date,value
2006-06-16,2.127
2006-06-23,2.063
2006-06-30,2.142
2006-07-07,2.191
2006-07-14,2.195
2006-07-21,2.245
2006-07-28,2.268
2006-08-04,2.360
2006-08-11,2.273
2006-08-18,2.183
2006-08-25,2.244
2006-09-01,2.084
2006-09-08,1.927
2006-09-15,1.698
2006-09-22,1.716
2006-09-29,1.792
2006-10-06,1.755
2006-10-13,1.800
2006-10-20,1.824
2006-10-27,1.785
2006-11-03,1.717
2006-11-10,1.801
2006-11-17,1.745
2006-11-24,1.833
2006-12-01,1.884
2006-12-08,1.816
2006-12-15,1.800
2006-12-22,1.766
2006-12-29,1.746
2007-01-05,1.680
2007-01-12,1.615
2007-01-19,1.588
2007-01-26,1.643
2007-02-02,1.702
2007-02-09,1.725
2007-02-16,1.730
2007-02-23,1.843
2007-03-02,1.894
2007-03-09,1.956
2007-03-16,1.921
2007-03-23,1.898
2007-03-30,2.133
2007-04-06,2.141
2007-04-13,2.182
2007-04-20,2.017
2007-04-27,2.049
2007-05-04,2.021
2007-05-11,2.004
2007-05-18,2.065
2007-05-25,2.095
2007-06-01,2.036
2007-06-08,2.064
2007-06-15,2.081
2007-06-22,2.132
2007-06-29,2.103
2007-07-06,2.139
2007-07-13,2.165
2007-07-20,2.123
2007-07-27,2.128
2007-08-03,2.163
2007-08-10,2.056
2007-08-17,2.124
2007-08-24,2.106
2007-08-31,2.165
2007-09-07,2.219
2007-09-14,2.267
2007-09-21,2.354
2007-09-28,2.321
2007-10-05,2.263
2007-10-12,2.269
2007-10-19,2.393
2007-10-26,2.416
2007-11-02,2.563
2007-11-09,2.676
2007-11-16,2.612
2007-11-23,2.728
2007-11-30,2.646
2007-12-07,2.516
2007-12-14,2.527
2007-12-21,2.570
2007-12-28,2.630
2008-01-04,2.668
2008-01-11,2.545
2008-01-18,2.515
2008-01-25,2.495
2008-02-01,2.548
2008-02-08,2.533
2008-02-15,2.713
2008-02-22,2.905
2008-02-29,2.932
2008-03-07,3.082
2008-03-14,3.268
2008-03-21,3.182
2008-03-28,3.095
2008-04-04,3.145
2008-04-11,3.341
2008-04-18,3.401
2008-04-25,3.429
2008-05-02,3.356
2008-05-09,3.584
2008-05-16,3.750
2008-05-23,3.959
2008-05-30,3.822
2008-06-06,3.770
2008-06-13,3.928
2008-06-20,3.828
2008-06-27,3.865
2008-07-04,3.996
2008-07-11,3.972
2008-07-18,3.907
2008-07-25,3.659
2008-08-01,3.532
2008-08-08,3.266
2008-08-15,3.146
2008-08-22,3.219
2008-08-29,3.291
2008-09-05,3.131
2008-09-12,3.084
2008-09-19,3.021
2008-09-26,3.132
2008-10-03,2.889
2008-10-10,2.506
2008-10-17,2.296
2008-10-24,2.124
2008-10-31,1.998
2008-11-07,2.021
2008-11-14,1.893
2008-11-21,1.723
2008-11-28,1.709
2008-12-05,1.500
2008-12-12,1.367
2008-12-19,1.393
2008-12-26,1.261
2009-01-02,1.319
2009-01-09,1.529
2009-01-16,1.463
2009-01-23,1.318
2009-01-30,1.369
2009-02-06,1.332
2009-02-13,1.286
2009-02-20,1.169
2009-02-27,1.228
2009-03-06,1.162
2009-03-13,1.184
2009-03-20,1.303
2009-03-27,1.494
2009-04-03,1.397
2009-04-10,1.442
2009-04-17,1.428
2009-04-24,1.358
2009-05-01,1.351
2009-05-08,1.445
2009-05-15,1.462
2009-05-22,1.509
2009-05-29,1.568
2009-06-05,1.761
2009-06-12,1.826
2009-06-19,1.841
2009-06-26,1.779
2009-07-03,1.765
2009-07-10,1.582
2009-07-17,1.608
2009-07-24,1.776
2009-07-31,1.802
2009-08-07,1.929
2009-08-14,1.911
2009-08-21,1.892
2009-08-28,1.887
2009-09-04,1.764
2009-09-11,1.778
2009-09-18,1.805
2009-09-25,1.764
2009-10-02,1.773
2009-10-09,1.815
2009-10-16,1.942
2009-10-23,2.049
2009-10-30,2.013
2009-11-06,1.994
2009-11-13,1.972
2009-11-20,1.984
2009-11-27,1.963
2009-12-04,1.996
2009-12-11,1.915
2009-12-18,1.908
2009-12-25,1.941
2010-01-01,2.060
2010-01-08,2.163
2010-01-15,2.071
2010-01-22,1.963
2010-01-29,1.932
2010-02-05,1.961
2010-02-12,1.939
2010-02-19,2.042
2010-02-26,2.060
2010-03-05,2.099
2010-03-12,2.124
2010-03-19,2.128
2010-03-26,2.115
2010-04-02,2.203
2010-04-09,2.280
2010-04-16,2.244
2010-04-23,2.245
2010-04-30,2.299
2010-05-07,2.242
2010-05-14,2.168
2010-05-21,1.981
2010-05-28,1.981
2010-06-04,2.022
2010-06-11,2.017
2010-06-18,2.113
2010-06-25,2.109
2010-07-02,2.011
2010-07-09,2.015
2010-07-16,2.054
2010-07-23,2.062
2010-07-30,2.072
2010-08-06,2.202
2010-08-13,2.107
2010-08-20,2.052
2010-08-27,2.034
2010-09-03,2.061
2010-09-10,2.103
2010-09-17,2.135
2010-09-24,2.131
2010-10-01,2.210
2010-10-08,2.279
2010-10-15,2.248
2010-10-22,2.229
2010-10-29,2.241
2010-11-05,2.314
2010-11-12,2.390
2010-11-19,2.285
2010-11-26,2.300
2010-12-03,2.383
2010-12-10,2.420
2010-12-17,2.440
2010-12-24,2.458
2010-12-31,2.481
2011-01-07,2.489
2011-01-14,2.618
2011-01-21,2.645
2011-01-28,2.641
2011-02-04,2.729
2011-02-11,2.743
2011-02-18,2.757
2011-02-25,2.911
2011-03-04,3.073
2011-03-11,3.070
2011-03-18,3.051
2011-03-25,3.094
2011-04-01,3.110
2011-04-08,3.237
2011-04-15,3.226
2011-04-22,3.210
2011-04-29,3.260
2011-05-06,3.098
2011-05-13,2.996
2011-05-20,2.920
2011-05-27,2.974
2011-06-03,3.073
2011-06-10,3.111
2011-06-17,3.077
2011-06-24,2.909
2011-07-01,2.917
2011-07-08,3.070
2011-07-15,3.137
2011-07-22,3.147
2011-07-29,3.135
2011-08-05,3.038
2011-08-12,2.880
2011-08-19,2.949
2011-08-26,2.976
2011-09-02,3.054
2011-09-09,3.018
2011-09-16,2.961
2011-09-23,2.899
2011-09-30,2.848
2011-10-07,2.820
2011-10-14,2.949
2011-10-21,3.004
2011-10-28,3.045
2011-11-04,3.040
2011-11-11,3.126
2011-11-18,3.091
2011-11-25,2.953
2011-12-02,2.970
2011-12-09,2.911
2011-12-16,2.809
2011-12-23,2.857
2011-12-30,2.908
2012-01-06,3.054
2012-01-13,3.052
2012-01-20,3.009
2012-01-27,3.020
2012-02-03,3.045
2012-02-10,3.157
2012-02-17,3.171
2012-02-24,3.269
2012-03-02,3.238
2012-03-09,3.257
2012-03-16,3.298
2012-03-23,3.266
2012-03-30,3.265
2012-04-06,3.270
2012-04-13,3.209
2012-04-20,3.181
2012-04-27,3.216
2012-05-04,3.161
2012-05-11,3.021
2012-05-18,2.908
2012-05-25,2.860
2012-06-01,2.747
2012-06-08,2.685
2012-06-15,2.667
2012-06-22,2.648
2012-06-29,2.669
2012-07-06,2.808
2012-07-13,2.841
2012-07-20,2.942
2012-07-27,2.901
2012-08-03,2.932
2012-08-10,3.089
2012-08-17,3.156
2012-08-24,3.203
2012-08-31,3.239
2012-09-07,3.213
2012-09-14,3.248
2012-09-21,3.135
2012-09-28,3.152
2012-10-05,3.189
2012-10-12,3.261
2012-10-19,3.187
2012-10-26,3.052
2012-11-02,3.013
2012-11-09,2.957
2012-11-16,2.952
2012-11-23,3.077
2012-11-30,3.036
2012-12-07,2.964
2012-12-14,2.929
2012-12-21,2.944
2012-12-28,3.007
2013-01-04,2.994
2013-01-11,3.025
2013-01-18,3.029
2013-01-25,3.068
2013-02-01,3.118
2013-02-08,3.209
2013-02-15,3.273
2013-02-22,3.204
2013-03-01,3.080
2013-03-08,3.051
2013-03-15,3.018
2013-03-22,2.959
2013-03-29,2.998
2013-04-05,3.020
2013-04-12,2.925
2013-04-19,2.768
2013-04-26,2.825
2013-05-03,2.809
2013-05-10,2.883
2013-05-17,2.853
2013-05-24,2.843
2013-05-31,2.810
2013-06-07,2.836
2013-06-14,2.877
2013-06-21,2.898
2013-06-28,2.831
2013-07-05,2.901
2013-07-12,2.961
2013-07-19,3.037
2013-07-26,3.004
2013-08-02,3.014
2013-08-09,2.956
2013-08-16,3.024
2013-08-23,3.055
2013-08-30,3.124
2013-09-06,3.109
2013-09-13,3.065
2013-09-20,2.983
2013-09-27,2.935
2013-10-04,2.933
2013-10-11,2.979
2013-10-18,2.963
2013-10-25,2.890
2013-11-01,2.890
2013-11-08,2.795
2013-11-15,2.821
2013-11-22,2.881
2013-11-29,2.956
2013-12-06,2.967
2013-12-13,2.914
2013-12-20,2.924
2013-12-27,3.005
2014-01-03,2.941
2014-01-10,2.887
2014-01-17,2.921
2014-01-24,2.923
2014-01-31,2.931
2014-02-07,2.915
2014-02-14,2.970
2014-02-21,3.031
2014-02-28,2.986
2014-03-07,3.003
2014-03-14,2.902
2014-03-21,2.870
2014-03-28,2.894
2014-04-04,2.873
2014-04-11,2.903
2014-04-18,2.975
2014-04-25,2.984
2014-05-02,2.915
2014-05-09,2.890
2014-05-16,2.919
2014-05-23,2.917
2014-05-30,2.890
2014-06-06,2.837
2014-06-13,2.887
2014-06-20,2.981
2014-06-27,2.980
2014-07-04,2.897
2014-07-11,2.837
2014-07-18,2.815
2014-07-25,2.838
2014-08-01,2.848
2014-08-08,2.842
2014-08-15,2.826
2014-08-22,2.794
2014-08-29,2.821
2014-09-05,2.798
2014-09-12,2.734
2014-09-19,2.692
2014-09-26,2.655
2014-10-03,2.633
2014-10-10,2.550
2014-10-17,2.467
2014-10-24,2.455
