date,value
1994-11-28,1.255
1994-12-05,1.252
1994-12-12,1.244
1994-12-19,1.235
1994-12-26,1.236
1995-01-02,1.254
1995-01-09,1.257
1995-01-16,1.258
1995-01-23,1.247
1995-01-30,1.244
1995-02-06,1.239
1995-02-13,1.237
1995-02-20,1.234
1995-02-27,1.230
1995-03-06,1.230
1995-03-13,1.219
1995-03-20,1.217
1995-03-27,1.210
1995-04-03,1.207
1995-04-10,1.229
1995-04-17,1.230
1995-04-24,1.249
1995-05-01,1.249
1995-05-08,1.261
1995-05-15,1.271
1995-05-22,1.272
1995-05-29,1.267
1995-06-05,1.260
1995-06-12,1.254
1995-06-19,1.251
1995-06-26,1.245
1995-07-03,1.240
1995-07-10,1.230
1995-07-17,1.216
1995-07-24,1.205
1995-07-31,1.189
1995-08-07,1.178
1995-08-14,1.170
1995-08-21,1.160
1995-08-28,1.160
1995-09-04,1.158
1995-09-11,1.145
1995-09-18,1.145
1995-09-25,1.138
1995-10-02,1.158
1995-10-09,1.161
1995-10-16,1.166
1995-10-23,1.169
1995-10-30,1.160
1995-11-06,1.158
1995-11-13,1.164
1995-11-20,1.161
1995-11-27,1.157
1995-12-04,1.148
1995-12-11,1.144
1995-12-18,1.146
1995-12-25,1.152
1996-01-01,1.146
1996-01-08,1.143
1996-01-15,1.158
1996-01-22,1.159
1996-01-29,1.157
1996-02-05,1.152
1996-02-12,1.154
1996-02-19,1.169
1996-02-26,1.193
1996-03-04,1.209
1996-03-11,1.229
1996-03-18,1.241
1996-03-25,1.251
1996-04-01,1.281
1996-04-08,1.318
1996-04-15,1.368
1996-04-22,1.482
1996-04-29,1.537
1996-05-06,1.537
1996-05-13,1.531
1996-05-20,1.519
1996-05-27,1.507
1996-06-03,1.509
1996-06-10,1.493
1996-06-17,1.480
1996-06-24,1.468
1996-07-01,1.454
1996-07-08,1.445
1996-07-15,1.437
1996-07-22,1.421
1996-07-29,1.402
1996-08-05,1.379
1996-08-12,1.358
1996-08-19,1.341
1996-08-26,1.343
1996-09-02,1.304
1996-09-09,1.294
1996-09-16,1.296
1996-09-23,1.289
1996-09-30,1.278
1996-10-07,1.263
1996-10-14,1.250
1996-10-21,1.230
1996-10-28,1.208
1996-11-04,1.191
1996-11-11,1.163
1996-11-18,1.160
1996-11-25,1.163
1996-12-02,1.165
1996-12-09,1.173
1996-12-16,1.182
1996-12-23,1.193
1996-12-30,1.198
1997-01-06,1.217
1997-01-13,1.241
1997-01-20,1.252
1997-01-27,1.254
1997-02-03,1.267
1997-02-10,1.281
1997-02-17,1.279
1997-02-24,1.285
1997-03-03,1.285
1997-03-10,1.303
1997-03-17,1.315
1997-03-24,1.328
1997-03-31,1.351
1997-04-07,1.372
1997-04-14,1.384
1997-04-21,1.381
1997-04-28,1.374
1997-05-05,1.366
1997-05-12,1.360
1997-05-19,1.352
1997-05-26,1.343
1997-06-02,1.337
1997-06-09,1.327
1997-06-16,1.320
1997-06-23,1.309
1997-06-30,1.279
1997-07-07,1.274
1997-07-14,1.268
1997-07-21,1.259
1997-07-28,1.247
1997-08-04,1.272
1997-08-11,1.319
1997-08-18,1.351
1997-08-25,1.383
1997-09-01,1.403
